date,item_title,item_price,item_oldprice,item_site,item_link
03/24/20 14:00,Radio Flyer 3-in-1 EZ Fold Wagon with Canopy,$75,$100,Target,www.slickdeals.net/f/13933514-radio-flyer-3-in-1-ez-fold-wagon-with-canopy-75-w-target-toy-coupon-71-25-for-redcard-holders-free-shipping?src=frontpage
03/24/20 14:00,"Ozark Trail Fishing & Landing Net w/ 18'" Handle (18'" x 12'" Hoop)",$6.45,$14,Walmart,www.slickdeals.net/f/13934507-ozark-trail-fishing-landing-net-w-18-handle-18-x-12-hoop-6-45-free-store-pickup?src=frontpage
03/24/20 14:00,The Children's Place: Baby Apparel or Toddler Boys and Girls Apparel,from $1.40,,The Children's Place,www.slickdeals.net/f/13934354-the-children-s-place-all-clearance-80-off-no-exclusions-plus-free-s-h-girls-and-boys-items-starting-at-1-39?src=frontpage
03/24/20 14:00,adidas Men's Ultraboost Running Shoes (Core Black / Core Black / Glow Green),$88.20,$180,adidas,www.slickdeals.net/f/13934546-adidas-men-s-ultraboost-running-shoes-core-black-core-black-glow-green-88-20-free-shipping?src=frontpage
03/24/20 14:00,DeWalt Maxfit Telescoping Ratcheting Multi-Bit Screwdriver,$10,$16,Home Depot,www.slickdeals.net/f/13934108-dewalt-maxfit-telescoping-ratcheting-multi-bit-screwdriver-10-free-s-h-on-45?src=frontpage
03/24/20 14:00,APC BE Series 7-Outlet 600VA Battery Backup UPS & Surge Protector,$45.55,$70,Staples,www.slickdeals.net/f/13934429-apc-be-series-7-outlet-600va-battery-backup-ups-surge-protector-45-50-free-shipping?src=frontpage
03/24/20 14:00,Sperry Walker Atlantic Rain Boots (Oxblood or Black),$30,$130,Famous Footwear,www.slickdeals.net/f/13933160-sperry-walker-atlantic-rain-boots-oxblood-or-black-30-more-free-s-h?src=frontpage
03/24/20 14:00,"Modern Forms Hiline 8'" Indoor / Outdoor Dimmable LED Wall Light",$27.80,,Build.com,www.slickdeals.net/f/13932512-modern-forms-hiline-outdoor-dimmable-led-wall-light-in-graphite-8-245-lumens-27-80-free-shipping?src=frontpage
03/24/20 14:00,"Digital 4K UHD Movies: Patriots Day, 3:10 to Yuma (2007), Hostiles & More",$5 each,,Amazon,www.slickdeals.net/f/13934426-digital-4k-uhd-movies-patriots-day-3-10-to-yuma-2007-hostiles-more-5-each?src=frontpage
03/24/20 14:00,"82'" Samsung QN82Q60RAF Q60 Series QLED 4K UHD Smart TV",$1699,$1998,Google Shopping,www.slickdeals.net/f/13934201-82-samsung-q60-series-qled-4k-uhd-smart-tv-1699-free-s-h?src=frontpage
